Nama,Alamat,Rating,Total Rating,Latitude,Longitude
Hotel Indonesia Kempinski Jakarta,Jalan M.H. Thamrin No.1,4.7,20559,-6.1956129,106.8223572
Skye,"BCA Tower Lt. 56, Jl. M.H. Thamrin No. 1, RT.001 / RW.005, Menteng, RT.1/RW.5, Menteng",4.6,5889,-6.196727999999999,106.822582
Seribu Rasa Menteng,"Jalan Haji Agus Salim No.128, RT.1/RW.5, Menteng",4.6,5107,-6.195501399999999,106.8250395
Harum Manis Restaurant,"Retail Arcade, Apartemen Pavilion, Jalan K.H. Mas Mansyur No.Kav.24 12, RT.12/RW.11, Karet Tengsin",4.5,1005,-6.2081976,106.8180162
Mie Aceh Seulawah,"Jalan Bendungan Hilir No.8 Blok G2, RT.5/RW.3, Bendungan Hilir",4.3,2009,-6.210836099999999,106.8124404
Warung Leko Citywalk Sudirman,"Citylofts Sudirman, 10, Jalan K.H. Mas Mansyur No.121, RT.10/RW.11, Karet Tengsin",4.4,301,-6.208829300000001,106.8188526
Loving Hut Express,"ANZ Square Podium, Thamrin Nine, Jalan M.H. Thamrin No.8-9 Lt. B1, RT.14/RW.20, Kebon Melati",3.8,9,-6.1992905,106.8223119
Fiesta Steak Grand Indonesia,"FoodPrint West Mall, Lt. 5 Grand Indonesia, Jalan M.H. Thamrin No.1, Kebon Melati",4.3,114,-6.195074399999999,106.8196774
Nasi Bakar Dinda,"Jalan Dukuh Pinggir V No.5 7, RT.7/RW.6, Kebon Melati",4.7,6,-6.1984439,106.8166535
Gyu-kaku Prime at Plaza Indonesia,"Jalan M.H. Thamrin No.28 - 30, RT.9/RW.5, Gondangdia",4.4,300,-6.1939822,106.8219095
Kahyangan Japanese Restaurant,"Jakarta Pusat, Wisma Nusantara Lantai 28-30 Jalan M.H. Thamrin Kav. 59, Menteng, RT.9/RW.5, Gondangdia",4.6,264,-6.193495100000001,106.8235674
Grand Café,"Grand Hyatt Jakarta, Jalan M.H. Thamrin No.Kav. 28-30",4.4,335,-6.1936508,106.8221703
Bakso Sehat Bakso Atom Thamrin City,"Jl. Kebon Kacang Raya, Kebon Melati Tanah Abang Jakarta Pusat DKI, Thamrin City Lantai Dasar, RT.2/RW.8, Kebon Melati",4.2,713,-6.1948695,106.8160021
D'Cost,"Jalan Kebon Kacang Raya No.3, Kebon Melati",4.1,884,-6.194753,106.817529
Golden Dragon Chinese Restaurant,"Hotel Grand Sahid Jaya, Lobby Puri Agung, Jalan Jenderal Sudirman No.86, Karet Tengsin",4.4,231,-6.210039999999999,106.8196427
CORK&SCREW Plaza Indonesia,"Plaza Indonesia, Jalan M.H. Thamrin No.28-30, RT.9/RW.5, Gondangdia",4.7,1576,-6.1941666,106.8223591
Aro Aroy,Jalan Jenderal Sudirman No.Kav. 10 - 11,4.1,39,-6.2094716,106.8209989
KADO,"AYANA MIDPLAZA Jakarta LG Floor Jakarta, Jalan Jenderal Sudirman No.11 Kav. 10-11, RT.10/RW.11",4.6,429,-6.2087167,106.8197162
KempiDeli,"Grand Indonesia, East Mall, Jalan M.H. Thamrin No.1 2nd Floor",4.6,441,-6.1963582,106.8223704
Andrawina Restaurant,"Grand Sahid Jaya Hotel Lantai Dasar, Jl. Jenderal Sudirman Kav. 86, RT.10/RW.11, Karet Tengsin",4.7,9,-6.2106768,106.8197497
